,LEVEL,POSITION,TECH_STACK,EXPERIENCE,GENDER,COMPANY,COMPANY_SIZE,WORK_TYPE,CITY,CURRENCY,SALARY_FOR_OTHER_CURRENCY,SALARY_FOR_TL_CURRENCY,MIN_TL,MAX_TL,CUR_MIN,CUR_MAX
0,Middle,BACK-END DEVELOPER,Php,3 - 5 Yıl,Erkek,Startup,25 - 50 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,15.000 TL - 15.999 TL,15000.0,15999.0,0.0,0.0
1,Junior,FRONT-END DEVELOPER,React,0 - 1 Yıl,Erkek,Startup,10 - 25 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,8.000 TL - 8.999 TL,8000.0,8999.0,0.0,0.0
2,Middle,BACK-END DEVELOPER,.Net,1 - 3 Yıl,Erkek,Outsource,10 - 25 Kişi,Remote,İstanbul,₺ - Türk Lirası,,15.000 TL - 15.999 TL,15000.0,15999.0,0.0,0.0
3,Junior,FULL STACK DEVELOPER,"Java, JavaScript | Html | Css, React, React Native",1 - 3 Yıl,Erkek,Startup,10 - 25 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,10.000 TL - 10.999 TL,10000.0,10999.0,0.0,0.0
4,Junior,BACK-END DEVELOPER,".Net, JavaScript | Html | Css",0 - 1 Yıl,Erkek,Kurumsal,250+,Geçici Hibrit,Kocaeli,₺ - Türk Lirası,,5.000 TL - 5.999 TL,5000.0,5999.0,0.0,0.0
5,Middle,MOBILE APPLICATION DEVELOPER,"Python, Kotlin, React Native",3 - 5 Yıl,Erkek,Startup,10 - 25 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,12.000 TL - 12.999 TL,12000.0,12999.0,0.0,0.0
6,Junior,BACK-END DEVELOPER,.Net,1 - 3 Yıl,Erkek,Kurumsal,250+,Geçici Remote,İstanbul,₺ - Türk Lirası,,8.000 TL - 8.999 TL,8000.0,8999.0,0.0,0.0
7,Middle,BACK-END DEVELOPER,".Net, JavaScript | Html | Css, Angular, React Native",3 - 5 Yıl,Erkek,Startup,100 - 250 Kişi,Remote,Yurt Dışı,$ - Dolar,10.000 ve üzeri,,186300.0,204911.37,10000.0,10999.0
8,Middle,FULL STACK DEVELOPER,"Php, JavaScript | Html | Css",3 - 5 Yıl,Erkek,Outsource,10 - 25 Kişi,Remote,Ankara,₺ - Türk Lirası,,7.000 TL - 7.999 TL,7000.0,7999.0,0.0,0.0
9,Senior,BACK-END DEVELOPER,"Php, Go, JavaScript | Html | Css, Vue",5 - 7 Yıl,Erkek,Kurumsal,1 - 10 Kişi,Remote,Yurt Dışı,₺ - Türk Lirası,,15.000 TL - 15.999 TL,15000.0,15999.0,0.0,0.0
10,Senior,MOBILE APPLICATION DEVELOPER,Swift / Objective C,3 - 5 Yıl,Erkek,Kurumsal,250+,Remote,İstanbul,₺ - Türk Lirası,,24.000 TL - 24.999 TL,24000.0,24999.0,0.0,0.0
11,Junior,FULL STACK DEVELOPER,"JavaScript | Html | Css, React, Vue, Express.js",0 - 1 Yıl,Erkek,Startup,10 - 25 Kişi,Remote,İstanbul,₺ - Türk Lirası,,5.000 TL - 5.999 TL,5000.0,5999.0,0.0,0.0
12,Senior,FRONT-END DEVELOPER,"JavaScript | Html | Css, Vue",5 - 7 Yıl,Erkek,Kurumsal,250+,Remote,İstanbul,₺ - Türk Lirası,,21.000 TL - 21.999 TL,21000.0,21999.0,0.0,0.0
13,Junior,MOBILE APPLICATION DEVELOPER,"Swift / Objective C, Flutter",1 - 3 Yıl,Erkek,Startup,1 - 10 Kişi,Remote,Yurt Dışı,$ - Dolar,2.000 - 2.999,,37260.0,55871.369999999995,2000.0,2999.0
14,Senior,FULL STACK DEVELOPER,Java,5 - 7 Yıl,Erkek,Kurumsal,250+,Remote,Kocaeli,₺ - Türk Lirası,,21.000 TL - 21.999 TL,21000.0,21999.0,0.0,0.0
15,Junior,BACK-END DEVELOPER,Go,1 - 3 Yıl,Erkek,Startup,250+,Remote,İstanbul,₺ - Türk Lirası,,16.000 TL - 16.999 TL,16000.0,16999.0,0.0,0.0
16,Senior,FULL STACK DEVELOPER,"Php, Swift / Objective C",10 - 14 Yıl,Erkek,E-Ticaret,1 - 10 Kişi,Remote,İstanbul,$ - Dolar,2.000 - 2.999,,37260.0,55871.369999999995,2000.0,2999.0
17,Middle,BACK-END DEVELOPER,".Net, Php, Vue",3 - 5 Yıl,Erkek,Dijital / Reklam Ajansı,1 - 10 Kişi,Remote,İstanbul,₺ - Türk Lirası,,11.000 TL - 11.999 TL,11000.0,11999.0,0.0,0.0
18,Senior,EMBEDDED SOFTWARE DEVELOPER,C / C++,3 - 5 Yıl,Erkek,DIGER,10 - 25 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,25.000 TL - 25.999 TL,25000.0,25999.0,0.0,0.0
19,Junior,BACK-END DEVELOPER,Java,0 - 1 Yıl,Erkek,E-Ticaret,250+,Hibrit,İstanbul,₺ - Türk Lirası,,6.000 TL - 6.999 TL,6000.0,6999.0,0.0,0.0
20,Senior,BACK-END DEVELOPER,.Net,7 - 10 Yıl,Erkek,Kurumsal,250+,Hibrit,İstanbul,₺ - Türk Lirası,,22.000 TL - 22.999 TL,22000.0,22999.0,0.0,0.0
21,Senior,TEAM / TECH LEAD,Python,15 Yıl ve üzeri,Erkek,Kurumsal,250+,Hibrit,Sydney,$ - Dolar,10.000 ve üzeri,,186300.0,204911.37,10000.0,10999.0
22,Senior,FULL STACK DEVELOPER,"Php, Angular",7 - 10 Yıl,Erkek,Oyun,100 - 250 Kişi,Remote,İstanbul,€ - Euro,2.000 - 2.999,,38940.0,58390.53,2000.0,2999.0
23,Middle,FRONT-END DEVELOPER,JavaScript | Html | Css,7 - 10 Yıl,Erkek,Startup,100 - 250 Kişi,Hibrit,Kocaeli ,₺ - Türk Lirası,,10.000 TL - 10.999 TL,10000.0,10999.0,0.0,0.0
24,Senior,TEAM / TECH LEAD,Node JS,10 - 14 Yıl,Erkek,Kurumsal,250+,Remote,İstanbul,₺ - Türk Lirası,,20.000 TL - 20.999 TL,20000.0,20999.0,0.0,0.0
25,Middle,FULL STACK DEVELOPER,".Net, Vue, Angular, Flutter",3 - 5 Yıl,Erkek,Startup,25 - 50 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,11.000 TL - 11.999 TL,11000.0,11999.0,0.0,0.0
26,Senior,FULL STACK DEVELOPER,".Net, JavaScript | Html | Css, React, Angular",7 - 10 Yıl,Erkek,Kurumsal,250+,Remote,İstanbul,₺ - Türk Lirası,,21.000 TL - 21.999 TL,21000.0,21999.0,0.0,0.0
27,Middle,BACK-END DEVELOPER,".Net, Angular",3 - 5 Yıl,Erkek,Kurumsal,250+,Remote,İstanbul,₺ - Türk Lirası,,16.000 TL - 16.999 TL,16000.0,16999.0,0.0,0.0
28,Middle,BACK-END DEVELOPER,".Net, Flutter",3 - 5 Yıl,Erkek,Startup,25 - 50 Kişi,Ofis,İstanbul,₺ - Türk Lirası,,17.000 TL - 17.999 TL,17000.0,17999.0,0.0,0.0
29,Junior,FULL STACK DEVELOPER,".Net, Swift / Objective C, JavaScript | Html | Css, React, React Native",1 - 3 Yıl,Erkek,Startup,25 - 50 Kişi,Ofis,İstanbul,€ - Euro,2.000 - 2.999,,38940.0,58390.53,2000.0,2999.0
30,Junior,FULL STACK DEVELOPER,"Php, React, Angular",1 - 3 Yıl,Erkek,Kurumsal,250+,Remote,İstanbul,₺ - Türk Lirası,,11.000 TL - 11.999 TL,11000.0,11999.0,0.0,0.0
31,Middle,FRONT-END DEVELOPER,"React, Vue",1 - 3 Yıl,Erkek,Kurumsal,250+,Remote,İzmir,$ - Dolar,2.000 - 2.999,,37260.0,55871.369999999995,2000.0,2999.0
32,Senior,TEAM / TECH LEAD,".Net, JavaScript | Html | Css, React",10 - 14 Yıl,Erkek,Outsource,250+,Hibrit,Ankara,₺ - Türk Lirası,,25.000 TL - 25.999 TL,25000.0,25999.0,0.0,0.0
33,Senior,TEAM / TECH LEAD,"Java, .Net, Python, JavaScript | Html | Css, React, Angular",15 Yıl ve üzeri,Erkek,Startup,10 - 25 Kişi,Hibrit,İstanbul,₺ - Türk Lirası,,18.000 TL - 18.999 TL,18000.0,18999.0,0.0,0.0
34,Junior,FULL STACK DEVELOPER,"Lowcode platformlar servicenow,pega",0 - 1 Yıl,Erkek,Kurumsal,250+,Geçici Remote,İstanbul,₺ - Türk Lirası,,8.000 TL - 8.999 TL,8000.0,8999.0,0.0,0.0
35,Middle,BACK-END DEVELOPER,Python,1 - 3 Yıl,Erkek,Kurumsal,250+,Remote,Yurt Dışı,₺ - Türk Lirası,,25.000 TL - 25.999 TL,25000.0,25999.0,0.0,0.0
36,Middle,BACK-END DEVELOPER,.Net,3 - 5 Yıl,Erkek,Outsource,250+,Hibrit,İstanbul,₺ - Türk Lirası,,21.000 TL - 21.999 TL,21000.0,21999.0,0.0,0.0
37,Senior,BACK-END DEVELOPER,Java,5 - 7 Yıl,Erkek,Kurumsal,250+,Hibrit,İstanbul,₺ - Türk Lirası,,20.000 TL - 20.999 TL,20000.0,20999.0,0.0,0.0
38,Middle,FULL STACK DEVELOPER,"Java, .Net, Python, JavaScript | Html | Css",3 - 5 Yıl,Kadın,DIGER,250+,Hibrit,İstanbul,₺ - Türk Lirası,,10.000 TL - 10.999 TL,10000.0,10999.0,0.0,0.0
39,Junior,FRONT-END DEVELOPER,"Java, JavaScript | Html | Css",0 - 1 Yıl,Erkek,Kurumsal,25 - 50 Kişi,Geçici Remote,Ankara,₺ - Türk Lirası,,7.000 TL - 7.999 TL,7000.0,7999.0,0.0,0.0
40,Middle,BACK-END DEVELOPER,Java,3 - 5 Yıl,Erkek,Yazılım & Teknoloji,50 - 100 Kişi,Remote,İstanbul,₺ - Türk Lirası,,15.000 TL - 15.999 TL,15000.0,15999.0,0.0,0.0
41,Senior,TEAM / TECH LEAD,".Net, JavaScript | Html | Css",15 Yıl ve üzeri,Erkek,Kurumsal,25 - 50 Kişi,Hibrit,Ankara,₺ - Türk Lirası,,13.000 TL - 13.999 TL,13000.0,13999.0,0.0,0.0
42,Senior,FRONT-END DEVELOPER,"JavaScript | Html | Css, Vue",7 - 10 Yıl,Erkek,Startup,1 - 10 Kişi,Remote,Yurt Dışı,₺ - Türk Lirası,,12.000 TL - 12.999 TL,12000.0,12999.0,0.0,0.0
43,Junior,FRONT-END DEVELOPER,Angular,0 - 1 Yıl,Erkek,Kurumsal,250+,Hibrit,İstanbul,₺ - Türk Lirası,,6.000 TL - 6.999 TL,6000.0,6999.0,0.0,0.0
44,Junior,BACK-END DEVELOPER,Java,0 - 1 Yıl,Erkek,Startup,10 - 25 Kişi,Remote,İstanbul,₺ - Türk Lirası,,8.000 TL - 8.999 TL,8000.0,8999.0,0.0,0.0
45,Senior,BACK-END DEVELOPER,Php,5 - 7 Yıl,Erkek,Kurumsal,250+,Remote,İstanbul,₺ - Türk Lirası,,22.000 TL - 22.999 TL,22000.0,22999.0,0.0,0.0
46,Senior,BACK-END DEVELOPER,".Net, Go, JavaScript | Html | Css",5 - 7 Yıl,Erkek,Startup,250+,Remote,İstanbul,₺ - Türk Lirası,,27.000 TL - 27.999 TL,27000.0,27999.0,0.0,0.0
47,Senior,SOFTWARE DEVELOPMENT MANAGER,"Java, Go, Python",10 - 14 Yıl,Erkek,Startup,25 - 50 Kişi,Remote,İstanbul,$ - Dolar,7.000 - 7.999,,130410.0,149021.37,7000.0,7999.0
48,Junior,FULL STACK DEVELOPER,".Net, Python, Angular",1 - 3 Yıl,Erkek,Kurumsal,1 - 10 Kişi,Hibrit,İzmir,₺ - Türk Lirası,,6.000 TL - 6.999 TL,6000.0,6999.0,0.0,0.0
49,Middle,EMBEDDED SOFTWARE DEVELOPER,C / C++,1 - 3 Yıl,Erkek,Kurumsal,250+,Ofis,Ankara,₺ - Türk Lirası,,13.000 TL - 13.999 TL,13000.0,13999.0,0.0,0.0
50,Senior,GAME DEVELOPER,Unity,3 - 5 Yıl,Erkek,Oyun,10 - 25 Kişi,Remote,İstanbul,₺ - Türk Lirası,,30.000 TL - 30.999 TL,30000.0,30999.0,0.0,0.0
51,Junior,BACK-END DEVELOPER,".Net, JavaScript | Html | Css",1 - 3 Yıl,Erkek,Outsource,10 - 25 Kişi,Hibrit,Ankara,₺ - Türk Lirası,,10.000 TL - 10.999 TL,10000.0,10999.0,0.0,0.0
52,Junior,BACK-END DEVELOPER,.Net,0 - 1 Yıl,Erkek,Startup,25 - 50 Kişi,Ofis,İstanbul,₺ - Türk Lirası,,6.000 TL - 6.999 TL,6000.0,6999.0,0.0,0.0
53,Junior,MOBILE APPLICATION DEVELOPER,Swift / Objective C,1 - 3 Yıl,Erkek,Kurumsal,250+,Geçici Remote,İstanbul,₺ - Türk Lirası,,13.000 TL - 13.999 TL,13000.0,13999.0,0.0,0.0
54,Junior,FRONT-END DEVELOPER,"JavaScript | Html | Css, React",1 - 3 Yıl,Erkek,Kurumsal,10 - 25 Kişi,Ofis,İstanbul,₺ - Türk Lirası,,5.000 TL - 5.999 TL,5000.0,5999.0,0.0,0.0
55,Junior,EMBEDDED SOFTWARE DEVELOPER,C / C++,0 - 1 Yıl,Erkek,Kurumsal,250+,Hibrit,İstanbul,₺ - Türk Lirası,,13.000 TL - 13.999 TL,13000.0,13999.0,0.0,0.0
56,Middle,FULL STACK DEVELOPER,"Java, JavaScript | Html | Css",1 - 3 Yıl,Kadın,Kurumsal,250+,Ofis,Ankara,₺ - Türk Lirası,,11.000 TL - 11.999 TL,11000.0,11999.0,0.0,0.0
