,SALARY_AVG_TL,LEVEL_Middle,LEVEL_Senior,POSITION_FULL STACK DEVELOPER,POSITION_FRONT-END DEVELOPER,POSITION_MOBILE APPLICATION DEVELOPER,POSITION_TEAM / TECH LEAD,POSITION_DATA SCIENTIST,POSITION_SOFTWARE DEVELOPMENT MANAGER,POSITION_SOFTWARE ARCHITECT,POSITION_EMBEDDED SOFTWARE DEVELOPER,POSITION_DEVOPS ENGINEER,POSITION_QA / TEST AUTOMATION DEVELOPER,POSITION_GAME DEVELOPER,POSITION_CTO,POSITION_DATABASE ADMIN,POSITION_OTHERS,EXPERIENCE_1 - 3 Yıl,EXPERIENCE_10 - 14 Yıl,EXPERIENCE_15 Yıl ve üzeri,EXPERIENCE_3 - 5 Yıl,EXPERIENCE_5 - 7 Yıl,EXPERIENCE_7 - 10 Yıl,GENDER_Kadın,COMPANY_Kurumsal,COMPANY_Startup,COMPANY_E-Ticaret,COMPANY_Outsource,COMPANY_Dijital / Reklam Ajansı,COMPANY_Oyun,COMPANY_Yazılım & Teknoloji,COMPANY_Fintech / Finans,WORK_TYPE_Remote,WORK_TYPE_Hibrit,WORK_TYPE_Ofis,WORK_TYPE_Geçici Remote,CITY_yurt_ici,CURRENCY_₺ - Türk Lirası,CURRENCY_€ - Euro,CURRENCY_£ - Sterlin
0,15499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1,8499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2,15499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
3,10499,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
4,5499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5,12499,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
6,8499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
7,195605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,7499,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
9,15499,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
