LEVEL,POSITION,GENDER,COMPANY,WORK_TYPE,CITY,CURRENCY,SALARY_AVG_TL
Middle,BACK-END DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,15499
Junior,FRONT-END DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,8499
Middle,BACK-END DEVELOPER,Erkek,Outsource,Remote,yurt_ici,TRY,15499
Junior,FULL STACK DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,10499
Junior,BACK-END DEVELOPER,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,5499
Middle,MOBILE APPLICATION DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,12499
Junior,BACK-END DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,8499
Middle,BACK-END DEVELOPER,Erkek,Startup,Remote,yurt_disi,USD,195605
Middle,FULL STACK DEVELOPER,Erkek,Outsource,Remote,yurt_ici,TRY,7499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_disi,TRY,15499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,24499
Junior,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,5499
Senior,FRONT-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,21499
Junior,MOBILE APPLICATION DEVELOPER,Erkek,Startup,Remote,yurt_disi,USD,46565
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,21499
Junior,BACK-END DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,16499
Senior,FULL STACK DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,USD,46565
Middle,BACK-END DEVELOPER,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,TRY,11499
Senior,EMBEDDED SOFTWARE DEVELOPER,Erkek,Diger,Hibrit,yurt_ici,TRY,25499
Junior,BACK-END DEVELOPER,Erkek,E-Ticaret,Hibrit,yurt_ici,TRY,6499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,22499
Senior,TEAM / TECH LEAD,Erkek,Kurumsal,Hibrit,yurt_disi,USD,195605
Senior,FULL STACK DEVELOPER,Erkek,Oyun,Remote,yurt_ici,EUR,48665
Middle,FRONT-END DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,10499
Senior,TEAM / TECH LEAD,Erkek,Kurumsal,Remote,yurt_ici,TRY,20499
Middle,FULL STACK DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,11499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,21499
Middle,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,16499
Middle,BACK-END DEVELOPER,Erkek,Startup,Ofis,yurt_ici,TRY,17499
Junior,FULL STACK DEVELOPER,Erkek,Startup,Ofis,yurt_ici,EUR,48665
Junior,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,11499
Middle,FRONT-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,USD,46565
Senior,TEAM / TECH LEAD,Erkek,Outsource,Hibrit,yurt_ici,TRY,25499
Senior,TEAM / TECH LEAD,Erkek,Startup,Hibrit,yurt_ici,TRY,18499
Junior,FULL STACK DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,8499
Middle,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_disi,TRY,25499
Middle,BACK-END DEVELOPER,Erkek,Outsource,Hibrit,yurt_ici,TRY,21499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,20499
Middle,FULL STACK DEVELOPER,Kadın,Diger,Hibrit,yurt_ici,TRY,10499
Junior,FRONT-END DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,7499
Middle,BACK-END DEVELOPER,Erkek,Yazılım & Teknoloji,Remote,yurt_ici,TRY,15499
Senior,TEAM / TECH LEAD,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,13499
Senior,FRONT-END DEVELOPER,Erkek,Startup,Remote,yurt_disi,TRY,12499
Junior,FRONT-END DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,6499
Junior,BACK-END DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,8499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,22499
Senior,BACK-END DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,27499
Senior,SOFTWARE DEVELOPMENT MANAGER,Erkek,Startup,Remote,yurt_ici,USD,139715
Junior,FULL STACK DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,6499
Middle,EMBEDDED SOFTWARE DEVELOPER,Erkek,Kurumsal,Ofis,yurt_ici,TRY,13499
Senior,GAME DEVELOPER,Erkek,Oyun,Remote,yurt_ici,TRY,30499
Junior,BACK-END DEVELOPER,Erkek,Outsource,Hibrit,yurt_ici,TRY,10499
Junior,BACK-END DEVELOPER,Erkek,Startup,Ofis,yurt_ici,TRY,6499
Junior,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,13499
Junior,FRONT-END DEVELOPER,Erkek,Kurumsal,Ofis,yurt_ici,TRY,5499
Junior,EMBEDDED SOFTWARE DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,13499
Middle,FULL STACK DEVELOPER,Kadın,Kurumsal,Ofis,yurt_ici,TRY,11499
Middle,DATA SCIENTIST,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,18499
Junior,GAME DEVELOPER,Erkek,Oyun,Remote,yurt_ici,TRY,9499
Middle,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,12499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Ofis,yurt_ici,TRY,6499
Middle,FRONT-END DEVELOPER,Kadın,E-Ticaret,Remote,yurt_ici,TRY,15499
Junior,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,9499
Senior,TEAM / TECH LEAD,Erkek,E-Ticaret,Geçici Remote,yurt_disi,EUR,107075
Senior,BACK-END DEVELOPER,Erkek,Outsource,Hibrit,yurt_ici,TRY,14499
Middle,BACK-END DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,26499
Senior,BACK-END DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,19499
Senior,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,25499
Middle,BACK-END DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,12499
Middle,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,USD,46565
Middle,TEAM / TECH LEAD,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,22499
Middle,FULL STACK DEVELOPER,Erkek,Kurumsal,Ofis,yurt_disi,TRY,9499
Senior,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,TRY,30499
Middle,FRONT-END DEVELOPER,Erkek,Outsource,Hibrit,yurt_ici,EUR,48665
Senior,FRONT-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,20499
Senior,FULL STACK DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,EUR,48665
Senior,BACK-END DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,25499
Middle,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_ici,EUR,48665
Senior,TEAM / TECH LEAD,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,20499
Senior,BACK-END DEVELOPER,Erkek,E-Ticaret,Geçici Remote,yurt_ici,TRY,18499
Middle,BACK-END DEVELOPER,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,17499
Junior,GAME DEVELOPER,Erkek,Startup,Ofis,yurt_ici,TRY,5499
Senior,SOFTWARE ARCHITECT,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,23499
Middle,BACK-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,17499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,USD,46565
Junior,BACK-END DEVELOPER,Erkek,Outsource,Hibrit,yurt_ici,TRY,9499
Middle,OTHER,Erkek,Outsource,Geçici Remote,yurt_ici,TRY,16499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,19499
Middle,BACK-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,9499
Middle,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,16499
Junior,MOBILE APPLICATION DEVELOPER,Kadın,Kurumsal,Remote,yurt_ici,TRY,11499
Senior,EMBEDDED SOFTWARE DEVELOPER,Erkek,Kurumsal,Remote,yurt_disi,USD,46565
Middle,BACK-END DEVELOPER,Erkek,Outsource,Remote,yurt_ici,TRY,16499
Junior,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,5499
Junior,BACK-END DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,6499
Junior,DATA SCIENTIST,Erkek,Startup,Ofis,yurt_ici,TRY,5499
Middle,FULL STACK DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,20499
Junior,FRONT-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,15499
Middle,BACK-END DEVELOPER,Erkek,E-Ticaret,Hibrit,yurt_ici,TRY,19499
Middle,FRONT-END DEVELOPER,Erkek,E-Ticaret,Geçici Remote,yurt_ici,TRY,28499
Middle,QA / TEST AUTOMATION DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_disi,USD,195605
Senior,BACK-END DEVELOPER,Erkek,Startup,Geçici Remote,yurt_ici,TRY,22499
Middle,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,10499
Senior,BACK-END DEVELOPER,Erkek,Startup,Remote,yurt_disi,TRY,20499
