,LEVEL,POSITION,EXPERIENCE,GENDER,COMPANY,WORK_TYPE,CITY,CURRENCY,SALARY_AVG_TL
0,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,15499
1,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,8499
2,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,15499
3,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,10499
4,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,5499
5,Middle,MOBILE APPLICATION DEVELOPER,3 - 5 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,12499
6,Junior,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,8499
7,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Startup,Remote,yurt_disi,$ - Dolar,195605
8,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,7499
9,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_disi,₺ - Türk Lirası,15499
10,Senior,MOBILE APPLICATION DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,24499
11,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,5499
12,Senior,FRONT-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,21499
13,Junior,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Erkek,Startup,Remote,yurt_disi,$ - Dolar,46565
14,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,21499
15,Junior,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,16499
16,Senior,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,$ - Dolar,46565
17,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,₺ - Türk Lirası,11499
18,Senior,EMBEDDED SOFTWARE DEVELOPER,3 - 5 Yıl,Erkek,DIGER,Hibrit,yurt_ici,₺ - Türk Lirası,25499
19,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,E-Ticaret,Hibrit,yurt_ici,₺ - Türk Lirası,6499
20,Senior,BACK-END DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,22499
21,Senior,TEAM / TECH LEAD,15 Yıl ve üzeri,Erkek,Kurumsal,Hibrit,yurt_disi,$ - Dolar,195605
22,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Oyun,Remote,yurt_ici,€ - Euro,48665
23,Middle,FRONT-END DEVELOPER,7 - 10 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,10499
24,Senior,TEAM / TECH LEAD,10 - 14 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,20499
25,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,11499
26,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,21499
27,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,16499
28,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,17499
29,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Startup,Ofis,yurt_ici,€ - Euro,48665
30,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,11499
31,Middle,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Remote,yurt_ici,$ - Dolar,46565
